ID,EN-US,ES-ES
159,"I MANIFESTED TO YOU MY SIN","TE HE MANIFESTADO MI PECADO"
160,"A HOMILY OF MELITO OF SARDIS","TÚ HAS CUBIERTO DE VERGÜENZA LA MUERTE"
161,"LORD, LISTEN TO MY PRAYER","TÚ QUE ERES FIEL"
162,"A SHOOT SPRINGS UP FROM THE STOCK OF JESSE","UN RETOÑO BROTA DEL TRONCO DE JESÉ"
163,"A GRANDIOSE SIGN","UNA GRAN SEÑAL"
164,"URÍ URÍ URÁ","URÍ, URÍ, URÁ"
165,"SHEPHERDS, LET US GO","VAMOS YA, PASTORES"
166,"COME FROM LEBANON","VEN DEL LÍBANO"
167,"SEQUENCE OF PENTECOST","VEN, ESPÍRITU SANTO"
168,"COME, SON OF MAN","VEN, HIJO DEL HOMBRE"
169,"HYMN OF VESPERS FROM ASCENSION TO PENTECOST","VENI CREATOR"
170,"HERE COMES THE LORD WITH MAJESTY ENROBED","VIENE EL SEÑOR"
171,"VIRGIN OF WONDER","VIRGEN DE LA MARAVILLA"
172,"","VIVID ALEGRES"
173,"","VOSOTROS SOIS LA LUZ DEL MUNDO"
174,"HE'S COMING MY GOD","YA VIENE MI DIOS"
175,"OH LORD, YOU ARE MY GOD","YAHVEH, TÚ ERES MI DIOS"
176,"I LOVE YOU, LORD","YO TE AMO, SEÑOR"
177,"GLORY, GLORY, GLORY","YO VENGO A REUNIR"
178,"ZACCHEUS","ZAQUEO"
179,"ANSWERS TO THE UNIVERSAL PRAYER","ACLAMACIONES A LA ORACIÓN DE LOS FIELES"
180,"ALLELUIA IN LECTIONARY","ALELUYA INTERLECCIONAL"
181,"EASTER ALLELUIA","ALELUYA PASCUAL"
182,"ACCLAMATION TO THE GOSPEL DURING LENT","ANTÍFONA PARA EL EVANGELIO"
183,"BLESSING OF THE WATER OF THE BAPTISMAL FONT","BENDICIÓN DEL AGUA"
184,"",""
185,"BLESSING FOR THE PENITENTIAL CELEBRATION","CELEBRACIÓN PENITENCIAL"
186,"LAMB OF GOD","CORDERO DE DIOS"
187,"CREED","CREDO"
188,"GLORY TO GOD","GLORIA A DIOS EN LO ALTO DEL CIELO"
189,"","LETANÍAS DE LOS SANTOS"
190,"",""
191,"PENITENTIAL LITANIES","LETANÍAS PENITENCIALES 1"
192,"","LETANÍAS PENITENCIALES 11"
193,"ABBA, ABBA, FATHER","PADRE NUESTRO"
194,"EUCHARISTIC PRAYER II - 1 PREFACE","PLEGARIA EUCARÍSTICA II - MODELO I"
195,"",""
196,"",""
197,"EUCHARISTIC PRAYER II - 2 PREFACE","PLEGARIA EUCARÍSTICA II - MODELO II"
198,"",""
199,"",""
